 Effectiveness, Flexibility, Procrastination, Tuition_Fees,Extracurricular_Activities,Vision_Affected,Device_Availability,Internet_Access,Teachers_co-operation,Class_Particiption,University_Offering_Resources,Hardware_Courses,Economic_Condition,Dependency_on_private_tuition, Lab_Courses ,Cheating_In_Exam,Internet_Connection,Paper_Submission_Issues,Session_Jam,Grading_Policy
Disagree,Agree,Yes,Yes,Yes,Yes,Yes,Easy to connect,Very helpful,Not always,Not at all helpful,Good decision but need to change few things,Poor,Poor,Failing to take graduation,Students who cheat will always find a way,Sudden power failure causes a disaster during exam,Members of the students’ family is sick and they have to take care of them,Internship not being offered due to online class,Students go through more mental stress during online exam
Disagree,Agree,Yes,Yes,Yes,Yes,"Yes, but it doesn’t work well",It is difficult because of poor internet connection,Not at all,Not always,Moderately helpful,Not a good decision,Average,Average,Not being able to learn properly from the desired course,Students who cheat will always find a way,Sudden power failure causes a disaster during exam,Not being able to complete the paper on time,Not all final year courses are being offered,Strict grading policy
Disagree,Agree,Yes,Yes,Yes,Yes,Yes,It is difficult because of poor internet connection,Slightly helpful,Not always,Extremely helpful,Good decision but need to change few things,Poor,Average,Failing to take graduation,Yes,Sudden power failure causes a disaster during exam,Members of the students’ family is sick and they have to take care of them,Not all final year courses are being offered,Grading system is strict as like offline exam
Disagree,Agree,Yes,Yes,Yes,Yes,"Yes, but it doesn’t work well",Sometime it is difficult to connect,Slightly helpful,Not always,Slightly helpful,Not a good decision,Average,Poor,Failing to take graduation,Yes,Sudden power failure causes a disaster during exam,Not being able to complete the paper on time,Session jam,Grading system is strict as like offline exam
Disagree,Agree,Yes,Yes,Yes,Yes,"Yes, but it doesn’t work well",It is difficult because of poor internet connection,Slightly helpful,Not always,Not at all helpful,Not a good decision,Average,Average,Failing to take graduation,Students who cheat will always find a way,Sudden power failure causes a disaster during exam,Not being able to complete the paper on time,Not all final year courses are being offered,Students go through more mental stress during online exam
Disagree,Agree,Yes,Yes,Yes,Yes,"Yes, but it doesn’t work well",Sometime it is difficult to connect,Slightly helpful,Not always,Not at all helpful,Good decision but need to change few things,Poor,Average,Unable to meet course requirements for further courses,Students who cheat will always find a way,Sudden power failure causes a disaster during exam,Not being able to complete the paper on time,Not all final year courses are being offered,Strict grading policy
Disagree,Agree,Yes,Yes,Yes,Yes,"Yes, but it doesn’t work well",Most of the time it is difficult to connect,Moderately helpful,Not at all,Not at all helpful,Not a good decision,Poor,Poor,Failing to take graduation,Students who cheat will always find a way,Poor internet connection causes disruption,Poor internet connection,Not all final year courses are being offered,Students go through more mental stress during online exam
Disagree,Agree,Yes,Yes,Yes,Yes,"No, I share with others",Sometime it is difficult to connect,Not at all,Not always,Extremely helpful,Good decision but need to change few things,Average,Average,Unable to meet course requirements for further courses,Yes,Sudden power failure causes a disaster during exam,Not being able to complete the paper on time,Session jam,Grading system is strict as like offline exam
Disagree,Agree,Yes,Yes,Yes,Yes,Yes,Sometime it is difficult to connect,Not at all,Always,Not at all helpful,Not a good decision,Poor,Poor,Failing to take graduation,Students who cheat will always find a way,Sudden power failure causes a disaster during exam,Not being able to complete the paper on time,Not all final year courses are being offered,Grading system is strict as like offline exam
Disagree,Agree,Yes,Yes,Yes,Yes,Yes,Most of the time it is difficult to connect,Slightly helpful,Always,Extremely helpful,Good decision,Average,Poor,Not being able to learn properly from the desired course,Students who cheat will always find a way,Poor internet connection causes disruption,Not being able to complete the paper on time,Internship not being offered due to online class,Students go through more mental stress during online exam
Disagree,Agree,Yes,Yes,Yes,Yes,"Yes, but it doesn’t work well",It is difficult because of poor internet connection,Slightly helpful,Not always,Not at all helpful,Not a good decision,Poor,Poor,Failing to take graduation,Yes,Poor internet connection causes disruption,Members of the students’ family is sick and they have to take care of them,Session jam,Grading system is strict as like offline exam
Disagree,Agree,Yes,Yes,Yes,Yes,"No, I share with others",It is difficult because of poor internet connection,Slightly helpful,Not always,Not at all helpful,Not a good decision,Poor,Average,Not being able to learn properly from the desired course,Students who cheat will always find a way,Poor internet connection causes disruption,Not being able to complete the paper on time,Internship not being offered due to online class,Students go through more mental stress during online exam
Disagree,Agree,No,No,No,No,Yes,Sometime it is difficult to connect,Slightly helpful,Always,Not at all helpful,Not a good decision,Poor,Average,Unable to meet course requirements for further courses,No,Sudden power failure causes a disaster during exam,Not being able to complete the paper on time,Not all final year courses are being offered,Students go through more mental stress during online exam
Disagree,Disagree,No,Yes,Yes,No,"Yes, but it doesn’t work well",It is difficult because of poor internet connection,Not at all,Not always,Moderately helpful,Good decision but need to change few things,Average,Average,Unable to meet course requirements for further courses,No,Sudden power failure causes a disaster during exam,Not being able to complete the paper on time,Not all final year courses are being offered,Students go through more mental stress during online exam
Disagree,Agree,No,No,No,No,Yes,Sometime it is difficult to connect,Not at all,Not always,Not at all helpful,Good decision but need to change few things,Average,Good,Unable to meet course requirements for further courses,No,Sudden power failure causes a disaster during exam,Not being able to complete the paper on time,Not all final year courses are being offered,Students go through more mental stress during online exam
Disagree,Agree,No,No,No,Yes,"Yes, but it doesn’t work well",Sometime it is difficult to connect,Slightly helpful,Not always,Not at all helpful,Not a good decision,Average,Average,Unable to meet course requirements for further courses,No,Sudden power failure causes a disaster during exam,Not being able to complete the paper on time,Internship not being offered due to online class,Strict grading policy
Disagree,Agree,No,No,No,No,"Yes, but it doesn’t work well",Sometime it is difficult to connect,Slightly helpful,Always,Not at all helpful,Good decision,Average,Average,Unable to meet course requirements for further courses,No,Good internet connection allows to give tension free exam,Not being able to complete the paper on time,Not all final year courses are being offered,Students go through more mental stress during online exam
Disagree,Agree,Maybe,Maybe,No,Yes,Yes,Sometime it is difficult to connect,Slightly helpful,Not always,Not at all helpful,Not a good decision,Average,Average,Unable to meet course requirements for further courses,No,Good internet connection allows to give tension free exam,Members of the students’ family is sick and they have to take care of them,Internship not being offered due to online class,Strict grading policy
Agree,Agree,Yes,Yes,Yes,Yes,"No, I share with others",Easy to connect,Very helpful,Not at all,Slightly helpful,Good decision,Average,Average,Not being able to learn properly from the desired course,No,Sudden power failure causes a disaster during exam,Members of the students’ family is sick and they have to take care of them,Session jam,Strict grading policy
Agree,Agree,Yes,Yes,Yes,Yes,Yes,Sometime it is difficult to connect,Slightly helpful,Not always,Not at all helpful,Not a good decision,Average,Average,Unable to meet course requirements for further courses,No,Sudden power failure causes a disaster during exam,Not being able to complete the paper on time,Not all final year courses are being offered,Students go through more mental stress during online exam
Disagree,Neutral,No,No,No,No,Yes,Sometime it is difficult to connect,Slightly helpful,Not always,Not at all helpful,Not a good decision,Average,Average,Unable to meet course requirements for further courses,No,Good internet connection allows to give tension free exam,Not being able to complete the paper on time,Not all final year courses are being offered,Strict grading policy
Disagree,Neutral,Maybe,Maybe,Yes,Yes,"Yes, but it doesn’t work well",It is difficult because of poor internet connection,Not at all,Not always,Not at all helpful,Not a good decision,Average,Average,Unable to meet course requirements for further courses,No,Sudden power failure causes a disaster during exam,Not being able to complete the paper on time,Not all final year courses are being offered,Strict grading policy
Disagree,Agree,Yes,No,No,No,"Yes, but it doesn’t work well",Sometime it is difficult to connect,Slightly helpful,Not always,Moderately helpful,Good decision but need to change few things,Average,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Internship not being offered due to online class,Students go through more mental stress during online exam
Agree,Disagree,Maybe,Yes,Yes,Maybe,Yes,It is difficult because of poor internet connection,Slightly helpful,Not always,Very helpful,Good decision but need to change few things,Average,Average,Unable to meet course requirements for further courses,No,Sudden power failure causes a disaster during exam,Not being able to complete the paper on time,Session jam,Strict grading policy
Agree,Agree,Maybe,Yes,No,Maybe,"Yes, but it doesn’t work well",Sometime it is difficult to connect,Not at all,Not always,Slightly helpful,Not a good decision,Average,Average,Unable to meet course requirements for further courses,No,Poor internet connection causes disruption,Poor internet connection,Internship not being offered due to online class,Students go through more mental stress during online exam
Neutral,Agree,No,Yes,Yes,Yes,Yes,Easy to connect,Not at all,Not always,Not at all helpful,Not a good decision,Average,Average,Unable to meet course requirements for further courses,No,Poor internet connection causes disruption,Poor internet connection,Internship not being offered due to online class,Students go through more mental stress during online exam
Agree,Disagree,Maybe,No,No,No,"Yes, but it doesn’t work well",Sometime it is difficult to connect,Moderately helpful,Not always,Not at all helpful,Good decision but need to change few things,Average,Average,Unable to meet course requirements for further courses,No,Sudden power failure causes a disaster during exam,Members of the students’ family is sick and they have to take care of them,Not all final year courses are being offered,Strict grading policy
Disagree,Neutral,Maybe,Yes,Yes,Yes,Yes,It is difficult because of poor internet connection,Not at all,Not always,Not at all helpful,Not a good decision,Average,Average,Unable to meet course requirements for further courses,Students who cheat will always find a way,Sudden power failure causes a disaster during exam,Not being able to complete the paper on time,Not all final year courses are being offered,Students go through more mental stress during online exam
Agree,Agree,Maybe,No,No,Maybe,Yes,Sometime it is difficult to connect,Not at all,Not always,Not at all helpful,Not a good decision,Average,Average,Unable to meet course requirements for further courses,No,Sudden power failure causes a disaster during exam,Members of the students’ family is sick and they have to take care of them,Not all final year courses are being offered,Students go through more mental stress during online exam
Disagree,Disagree,Yes,No,No,No,"Yes, but it doesn’t work well",It is difficult because of poor internet connection,Slightly helpful,Not always,Not at all helpful,Not a good decision,Average,Average,Not being able to learn properly from the desired course,Yes,Sudden power failure causes a disaster during exam,Not being able to complete the paper on time,Not all final year courses are being offered,Strict grading policy
Neutral,Neutral,No,Yes,No,No,Yes,It is difficult because of poor internet connection,Not at all,Always,Slightly helpful,Not a good decision,Average,Average,Unable to meet course requirements for further courses,Yes,Sudden power failure causes a disaster during exam,Poor internet connection,Not all final year courses are being offered,Strict grading policy
Disagree,Agree,Maybe,No,Yes,Yes,Yes,Easy to connect,Not at all,Not always,Not at all helpful,Not a good decision,Average,Average,Not being able to learn properly from the desired course,No,Sudden power failure causes a disaster during exam,Members of the students’ family is sick and they have to take care of them,Not all final year courses are being offered,Strict grading policy
Agree,Neutral,No,Maybe,Maybe,No,"Yes, but it doesn’t work well",It is difficult because of poor internet connection,Not at all,Not always,Slightly helpful,Not a good decision,Average,Average,Not being able to learn properly from the desired course,Yes,Poor internet connection causes disruption,Not being able to complete the paper on time,Internship not being offered due to online class,Strict grading policy
Agree,Disagree,Yes,Maybe,No,No,Yes,It is difficult because of poor internet connection,Not at all,Not always,Slightly helpful,Not a good decision,Average,Average,Not being able to learn properly from the desired course,Students who cheat will always find a way,Sudden power failure causes a disaster during exam,Poor internet connection,Session jam,Students go through more mental stress during online exam
Neutral,Agree,No,Yes,Yes,Yes,Yes,Easy to connect,Not at all,Not always,Not at all helpful,Not a good decision,Average,Good,Unable to meet course requirements for further courses,No,Sudden power failure causes a disaster during exam,Not being able to complete the paper on time,Internship not being offered due to online class,Strict grading policy
Disagree,Agree,No,Yes,Yes,Yes,Yes,Sometime it is difficult to connect,Not at all,Not always,Not at all helpful,Not a good decision,Average,Average,Unable to meet course requirements for further courses,No,Good internet connection allows to give tension free exam,Not being able to complete the paper on time,Not all final year courses are being offered,Strict grading policy
Disagree,Neutral,Maybe,No,No,No,Yes,Most of the time it is difficult to connect,Not at all,Always,Slightly helpful,Not a good decision,Average,Average,Unable to meet course requirements for further courses,Students who cheat will always find a way,Sudden power failure causes a disaster during exam,Poor internet connection,Not all final year courses are being offered,Students go through more mental stress during online exam
Agree,Disagree,Maybe,Yes,No,No,Yes,Sometime it is difficult to connect,Slightly helpful,Always,Not at all helpful,Not a good decision,Average,Good,Not being able to learn properly from the desired course,Students who cheat will always find a way,Good internet connection allows to give tension free exam,Poor internet connection,Not all final year courses are being offered,Students go through more mental stress during online exam
Agree,Agree,Maybe,No,Maybe,Yes,Yes,Sometime it is difficult to connect,Slightly helpful,Not always,Not at all helpful,Not a good decision,Average,Average,Unable to meet course requirements for further courses,No,Sudden power failure causes a disaster during exam,Poor internet connection,Not all final year courses are being offered,Students go through more mental stress during online exam
Agree,Neutral,No,Yes,Maybe,Yes,Yes,Sometime it is difficult to connect,Slightly helpful,Always,Not at all helpful,Not a good decision,Poor,Poor,Failing to take graduation,Yes,Poor internet connection causes disruption,Not being able to complete the paper on time,Session jam,Students go through more mental stress during online exam
Agree,Disagree,No,No,Maybe,Maybe,Yes,Sometime it is difficult to connect,Slightly helpful,Not always,Not at all helpful,Not a good decision,Poor,Poor,Unable to meet course requirements for further courses,Yes,Sudden power failure causes a disaster during exam,Members of the students’ family is sick and they have to take care of them,Internship not being offered due to online class,Grading system is strict as like offline exam
Agree,Agree,No,Yes,Maybe,No,Yes,Most of the time it is difficult to connect,Moderately helpful,Always,Not at all helpful,Good decision but need to change few things,Poor,Poor,Failing to take graduation,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Strict grading policy
Disagree,Agree,No,Maybe,Yes,No,Yes,Sometime it is difficult to connect,Slightly helpful,Not always,Not at all helpful,Not a good decision,Average,Average,Unable to meet course requirements for further courses,Students who cheat will always find a way,Poor internet connection causes disruption,Not being able to complete the paper on time,Not all final year courses are being offered,Strict grading policy
Agree,Agree,No,Maybe,Maybe,Yes,"Yes, but it doesn’t work well",Sometime it is difficult to connect,Slightly helpful,Always,Slightly helpful,Not a good decision,Poor,Poor,Failing to take graduation,Yes,Poor internet connection causes disruption,Poor internet connection,Internship not being offered due to online class,Strict grading policy
Agree,Neutral,No,No,No,No,Yes,Sometime it is difficult to connect,Slightly helpful,Not always,Not at all helpful,Not a good decision,Poor,Poor,Not being able to learn properly from the desired course,Students who cheat will always find a way,Sudden power failure causes a disaster during exam,Not being able to complete the paper on time,Internship not being offered due to online class,Grading system is strict as like offline exam
Agree,Neutral,No,Yes,Yes,Yes,Yes,Most of the time it is difficult to connect,Slightly helpful,Always,Not at all helpful,Not a good decision,Poor,Poor,Failing to take graduation,Students who cheat will always find a way,Sudden power failure causes a disaster during exam,Members of the students’ family is sick and they have to take care of them,Not all final year courses are being offered,Grading system is strict as like offline exam
Agree,Disagree,No,Maybe,No,Yes,Yes,Sometime it is difficult to connect,Moderately helpful,Not always,Not at all helpful,Good decision but need to change few things,Poor,Poor,Failing to take graduation,Yes,Poor internet connection causes disruption,Poor internet connection,Internship not being offered due to online class,Grading system is strict as like offline exam
Agree,Disagree,No,No,No,No,"Yes, but it doesn’t work well",It is difficult because of poor internet connection,Very helpful,Not always,Not at all helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Sudden power failure causes a disaster during exam,Members of the students’ family is sick and they have to take care of them,Session jam,Students go through more mental stress during online exam
Disagree,Disagree,Yes,No,No,No,"Yes, but it doesn’t work well",Most of the time it is difficult to connect,Slightly helpful,Always,Not at all helpful,Not a good decision,Poor,Poor,Unable to meet course requirements for further courses,Students who cheat will always find a way,Sudden power failure causes a disaster during exam,Not being able to complete the paper on time,Session jam,Grading system is strict as like offline exam
Agree,Neutral,Yes,No,Maybe,Maybe,Yes,Sometime it is difficult to connect,Slightly helpful,Always,Not at all helpful,Not a good decision,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Internship not being offered due to online class,Students go through more mental stress during online exam
Agree,Disagree,Yes,Maybe,Maybe,No,Yes,Sometime it is difficult to connect,Slightly helpful,Always,Not at all helpful,Not a good decision,Poor,Average,Unable to meet course requirements for further courses,Students who cheat will always find a way,Poor internet connection causes disruption,Members of the students’ family is sick and they have to take care of them,Session jam,Grading system is strict as like offline exam
Agree,Agree,Yes,Yes,Maybe,Yes,Yes,Sometime it is difficult to connect,Slightly helpful,Always,Not at all helpful,Not a good decision,Poor,Poor,Unable to meet course requirements for further courses,Students who cheat will always find a way,Good internet connection allows to give tension free exam,Members of the students’ family is sick and they have to take care of them,Not all final year courses are being offered,Students go through more mental stress during online exam
Agree,Agree,No,No,Maybe,No,Yes,Sometime it is difficult to connect,Slightly helpful,Always,Slightly helpful,Good decision but need to change few things,Poor,Average,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Members of the students’ family is sick and they have to take care of them,Not all final year courses are being offered,Students go through more mental stress during online exam
Agree,Disagree,No,Yes,Maybe,Yes,Yes,It is difficult because of poor internet connection,Slightly helpful,Not always,Not at all helpful,Good decision but need to change few things,Poor,Poor,Not being able to learn properly from the desired course,Students who cheat will always find a way,Good internet connection allows to give tension free exam,Members of the students’ family is sick and they have to take care of them,Session jam,Strict grading policy
Disagree,Disagree,Yes,Maybe,No,Yes,"Yes, but it doesn’t work well",It is difficult because of poor internet connection,Not at all,Always,Slightly helpful,Not a good decision,Average,Average,Unable to meet course requirements for further courses,Students who cheat will always find a way,Sudden power failure causes a disaster during exam,Not being able to complete the paper on time,Internship not being offered due to online class,Strict grading policy
Agree,Neutral,No,Maybe,Maybe,Maybe,Yes,Sometime it is difficult to connect,Slightly helpful,Not always,Not at all helpful,Not a good decision,Poor,Poor,Not being able to learn properly from the desired course,Students who cheat will always find a way,Poor internet connection causes disruption,Poor internet connection,Internship not being offered due to online class,Students go through more mental stress during online exam
Disagree,Disagree,Yes,No,Yes,Yes,Yes,Sometime it is difficult to connect,Slightly helpful,Always,Not at all helpful,Not a good decision,Average,Average,Not being able to learn properly from the desired course,No,Good internet connection allows to give tension free exam,Not being able to complete the paper on time,Not all final year courses are being offered,Students go through more mental stress during online exam
Disagree,Neutral,No,Yes,Yes,Yes,"Yes, but it doesn’t work well",Most of the time it is difficult to connect,Moderately helpful,Not always,Not at all helpful,Not a good decision,Average,Poor,Not being able to learn properly from the desired course,Students who cheat will always find a way,Good internet connection allows to give tension free exam,Not being able to complete the paper on time,Internship not being offered due to online class,Grading system is strict as like offline exam
Agree,Disagree,Yes,Maybe,No,Maybe,Yes,Sometime it is difficult to connect,Slightly helpful,Not always,Not at all helpful,Not a good decision,Average,Good,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Not all final year courses are being offered,Strict grading policy
Neutral,Disagree,Maybe,Yes,Yes,Yes,Yes,Sometime it is difficult to connect,Slightly helpful,Not always,Slightly helpful,Good decision but need to change few things,Average,Average,Not being able to learn properly from the desired course,Students who cheat will always find a way,Sudden power failure causes a disaster during exam,Members of the students’ family is sick and they have to take care of them,Not all final year courses are being offered,Students go through more mental stress during online exam
Agree,Disagree,Maybe,No,No,Yes,Yes,Sometime it is difficult to connect,Very often,Not always,Slightly helpful,Good decision but need to change few things,Average,Poor,Unable to meet course requirements for further courses,Students who cheat will always find a way,Poor internet connection causes disruption,Not being able to complete the paper on time,Internship not being offered due to online class,Students go through more mental stress during online exam
Disagree,Agree,No,Yes,No,Yes,Yes,Sometime it is difficult to connect,Very often,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Students who cheat will always find a way,Sudden power failure causes a disaster during exam,Not being able to complete the paper on time,Not all final year courses are being offered,Students go through more mental stress during online exam
Agree,Neutral,Maybe,Yes,No,No,Yes,Sometime it is difficult to connect,Always,Not always,Slightly helpful,Good decision but need to change few things,Average,Average,Unable to meet course requirements for further courses,No,Sudden power failure causes a disaster during exam,Poor internet connection,Not all final year courses are being offered,Strict grading policy
Disagree,Agree,Maybe,Yes,Yes,Maybe,Yes,Sometime it is difficult to connect,Very often,Not always,Slightly helpful,Good decision but need to change few things,Average,Average,Unable to meet course requirements for further courses,No,Good internet connection allows to give tension free exam,Not being able to complete the paper on time,Not all final year courses are being offered,Students go through more mental stress during online exam
Disagree,Agree,Maybe,Yes,Yes,Yes,Yes,Sometime it is difficult to connect,Very often,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Internship not being offered due to online class,Students go through more mental stress during online exam
Disagree,Neutral,Yes,Maybe,No,Yes,Yes,Sometime it is difficult to connect,Always,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Students who cheat will always find a way,Good internet connection allows to give tension free exam,Members of the students’ family is sick and they have to take care of them,Session jam,Grading system is strict as like offline exam
Disagree,Disagree,No,Yes,Yes,Maybe,Yes,Sometime it is difficult to connect,Very often,Not always,Slightly helpful,Good decision but need to change few things,Average,Average,Not being able to learn properly from the desired course,Students who cheat will always find a way,Sudden power failure causes a disaster during exam,Members of the students’ family is sick and they have to take care of them,Session jam,Strict grading policy
Agree,Disagree,Yes,No,Yes,Yes,Yes,Sometime it is difficult to connect,Not at all,Not always,Slightly helpful,Good decision but need to change few things,Average,Average,Unable to meet course requirements for further courses,Students who cheat will always find a way,Sudden power failure causes a disaster during exam,Not being able to complete the paper on time,Not all final year courses are being offered,Strict grading policy
Agree,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Not at all,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Not being able to learn properly from the desired course,Students who cheat will always find a way,Sudden power failure causes a disaster during exam,Not being able to complete the paper on time,Session jam,Strict grading policy
Poor,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Always,Not always,Slightly helpful,Good decision but need to change few things,Average,Average,Unable to meet course requirements for further courses,No,Good internet connection allows to give tension free exam,Members of the students’ family is sick and they have to take care of them,Not all final year courses are being offered,Strict grading policy
Average,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Not at all,Not always,Slightly helpful,Good decision but need to change few things,Average,Good,Not being able to learn properly from the desired course,Students who cheat will always find a way,Sudden power failure causes a disaster during exam,Poor internet connection,Not all final year courses are being offered,Strict grading policy
Good,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Not at all,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Below Average,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Very often,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Average,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Very often,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Excellent,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Very often,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Average,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Always,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Average,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Very often,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Poor,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Very often,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Average,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Very often,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Average,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Very often,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Below Average,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Not at all,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Poor,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Always,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Poor,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Very often,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Average,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Very often,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Average,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Very often,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Below Average,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Very often,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Good,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Always,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Average,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Very often,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Below Average,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Very often,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Average,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Not at all,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Poor,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Always,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Average,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Very often,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Below Average,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Very often,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Poor,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Very often,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Average,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Very often,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
